,Incident Description,Record Classification
844,"An HRO Operator was putting the 734 sulfolane filter system back into process service after changing the filters and was sprayed with hot sulfolane.  The initial investigation revealed that one of three hold down bolts sheared, allowing the product to spr",Level2
845,An operator was struck by a ball valve handle which was not properly attached and fell approximately 90 cm.  The operator suffered a laceration which was taped and was prescribed two days away from work due to suspicion of a mild concussion.,Level2
846,"On the CCO Olefins Debottleneck Project, a Brand employee was building a scaffold and got his thumb pinched between two metal scaffold planks.  This caused a laceration to the tip of the left thumb. The injury required sutures to repair the tip of the thu",Level2
847,Contractor received cut to arm while performing hydroblasting  operations.  Sutures were required to close the wound. ,Level2
848,"During fire fighter training (breathing air trainig facility) outside of the site, an operator twisted his knee.  He received a bandage and resumed the training.  Next morning his knee was swollen and he went to the doctor for further evaluation and was p",Level2
849,A scaffold worker with contractor Xervon was erecting  a new scaffold in OL4-Plant. He wore a harness and was going to hook up when he made a ?wrong? step and fell from appr. 2 meters to the ground (gravel).  After the fall the worker continued his work. ,Level2
850,After turning a manual valve an operator turned to leave the location. Doing so he hit the edge of a pipe clamp with his leg and suffered a cut at his shin.,Level2
851,"An employee suffered an accident during a business trip to Bolivia.  She was in transit at Sao Paulo?s airport when she tripped over a malfunctioning luggage cart, fell and hit the cart with her face. She was taken to the hospital for examination and trea",Level2
852,"A CDI employee was entering a work area to perform some I&E tasks.  The tasks required entering an area beneath an erected scaffold.  As the worker entered the area, they tripped over a horizontal scaffold component and fell injuring their right shoulder.",Level2
853,An LYB employee was descending the plant?s stairs when his foot slipped off. He hit the lower part of his back against a stair. The employee was brought to site infirmary and came back to work. After about four hours he felt the pain was increasing and wa,Level2
854,"An HRO Machinist was performing a pump / turbine alignment in the FCCU Unit.  Upon completing the alignment, the Machinist lost his footing, slipped and fell onto his buttocks / back.  The employee was assisted to a vehicle and transported  to HRO medical",Level2
855,During work preparation a contractor with SGS tore down a lamp with his hard hat. The glass enclosure broke and the back of his hand was cut by a piece of the glass. The injury required sutures to close.,Level2
856,A contract worker rubbed particles into his eye during insulation work.,Level2
857,A contract rigger was assigned the task of removing and replacing exchanger vessels during the Turn Around. While assisting crew with the rig up of exchanger vessels the rigger positioned himself on a 20? inch line to access the exchanger. As the rigger m,Level2
